"kode_biaya";"kode_jurusan";"tingkat";"tahun_akademik";"status";"biaya"
"17MJ01";"MJ";"1";"2017/2018";"LP3I";"0"
"17MJ02";"MJ";"2";"2021/2022";"LP3I";"0"
"17T00101";"T001";"1";"2017/2018";"LP3I";"18000000"
"18MJ03";"MJ";"3";"2018/2019";"LP3I";"0"
"18T00102";"T001";"2";"2018/2019";"LP3I";"15000000"
"19AB03";"AB";"3";"2019/2020";"POLTEK";"11500000"
"19AK03";"AK";"3";"2019/2020";"POLTEK";"11500000"
"19AK04";"AK";"4";"2019/2020";"DNBS";"10500000"
"19B00101";"B001";"1";"2019/2020";"LP3I";"18000000"
"19B00102";"B001";"2";"2019/2020";"LP3I";"15000000"
"19B00301";"B003";"1";"2019/2020";"LP3I";"18000000"
"19B00302";"B003";"2";"2019/2020";"LP3I";"15000000"
"19B00701";"B007";"1";"2019/2020";"LP3I";"18000000"
"19B00702";"B007";"2";"2019/2020";"LP3I";"15000000"
"19MI03";"MI";"3";"2019/2020";"POLTEK";"11500000"
"19MJ04";"MJ";"4";"2019/2020";"DNBS";"10500000"
"19T00101";"T001";"1";"2019/2020";"LP3I";"18000000"
"19T00102";"T001";"2";"2019/2020";"LP3I";"15000000"
"19T00501";"T005";"1";"2019/2020";"LP3I";"18000000"
"19T00502";"T005";"2";"2019/2020";"LP3I";"15000000"
"19TI04";"TI";"4";"2019/2020";"STT";"10500000"
"19TO03";"TO";"3";"2019/2020";"STT";"11500000"
"19TO04";"TO";"4";"2019/2020";"STT";"10500000"
"20ABK01";"ABK";"1";"2020/2021";"KARYAWAN";"8700000"
"20AK03";"AK";"3";"2020/2021";"DNBS";"12000000"
"20AK04";"AK";"4";"2020/2021";"DNBS";"11500000"
"20B00101";"B001";"1";"2020/2021";"LP3I";"18000000"
"20B00102";"B001";"2";"2020/2021";"LP3I";"15000000"
"20B00301";"B003";"1";"2020/2021";"LP3I";"18000000"
"20B00302";"B003";"2";"2020/2021";"LP3I";"15000000"
"20B00303";"B003";"3";"2020/2021";"DNBS";"12000000"
"20B00701";"B007";"1";"2020/2021";"LP3I";"18000000"
"20B00702";"B007";"2";"2020/2021";"LP3I";"15000000"
"20B00703";"B007";"3";"2020/2021";"DNBS";"12000000"
"20MIK01";"MIK";"1";"2020/2021";"KARYAWAN";"8700000"
"20MJ03";"MJ";"3";"2020/2021";"DNBS";"12000000"
"20MJ04";"MJ";"4";"2020/2021";"DNBS";"11500000"
"20MKP01";"MKP";"1";"2020/2021";"KARYAWAN";"8700000"
"20MKPK01";"MKPK";"1";"2020/2021";"KARYAWAN";"8700000"
"20MPMK01";"MPMK";"1";"2020/2021";"KARYAWAN";"8700000"
"20T00101";"T001";"1";"2020/2021";"LP3I";"18000000"
"20T00102";"T001";"2";"2020/2021";"LP3I";"15000000"
"20T00103";"T001";"3";"2020/2021";"-STT";"12000000"
"20T00501";"T005";"1";"2020/2021";"LP3I";"18000000"
"20T00502";"T005";"2";"2020/2021";"LP3I";"15000000"
"20TI03";"TI";"3";"2020/2021";"DNBS";"12000000"
"20TI04";"TI";"4";"2020/2021";"DNBS";"11500000"
"20TO03";"TO";"3";"2020/2021";"STT";"12000000"
"20TO04";"TO";"4";"2020/2021";"STT";"11500000"
"21AB01";"AB";"1";"2021/2022";"LP3I";"18000000"
"21AB02";"AB";"2";"2021/2022";"LP3I";"15000000"
"21AB03";"AB";"3";"2021/2022";"LP3I";"12000000"
"21ABK01";"ABK";"1";"2021/2022";"KARYAWAN";"8700000"
"21ABK02";"ABK";"2";"2021/2022";"KARYAWAN";"8700000"
"21AK03";"AK";"3";"2021/2022";"LP3I";"12000000"
"21AK04";"AK";"4";"2021/2022";"DNBS";"11500000"
"21B00102";"B001";"2";"2021/2022";"LP3I";"15000000"
"21B00302";"B003";"2";"2021/2022";"LP3I";"15000000"
"21B00702";"B007";"2";"2021/2022";"LP3I";"15000000"
"21MI01";"MI";"1";"2021/2022";"LP3I";"18000000"
"21MIK01";"MIK";"1";"2021/2022";"KARYAWAN";"8700000"
"21MIK02";"MIK";"2";"2021/2022";"KARYAWAN";"8700000"
"21MJ01";"MJ";"1";"2021/2022";"LP3I";"0"
"21MJ03";"MJ";"3";"2021/2022";"LP3I";"12000000"
"21MJ04";"MJ";"4";"2021/2022";"DNBS";"11500000"
"21MKP01";"MKP";"1";"2021/2022";"LP3I";"18000000"
"21MKP02";"MKP";"2";"2021/2022";"LP3I";"15000000"
"21MKP03";"MKP";"3";"2022/2023";"LP3I";"14000000"
"21MKPK01";"MKPK";"1";"2021/2022";"KARYAWAN";"8700000"
"21MKPK02";"MKPK";"2";"2021/2022";"KARYAWAN";"8700000"
"21MPM01";"MPM";"1";"2021/2022";"LP3I";"18000000"
"21MPMK01";"MPMK";"1";"2021/2022";"KARYAWAN";"8700000"
"21MPMK02";"MPMK";"2";"2021/2022";"KARYAWAN";"8700000"
"21T00101";"T001";"1";"2021/2022";"LP3I";"18000000"
"21T00102";"T001";"2";"2021/2022";"LP3I";"15000000"
"21T00502";"T005";"2";"2021/2022";"LP3I";"15000000"
"21TI03";"TI";"3";"2021/2022";"LP3I";"12000000"
"21TI04";"TI";"4";"2021/2022";"DNBS";"11500000"
"21TO03";"TO";"3";"2021/2022";"STT";"12000000"
"21TO04";"TO";"4";"2021/2022";"STT";"11500000"
"22AB01";"AB";"1";"2022/2023";"LP3I";"18000000"
"22AB02";"AB";"2";"2022/2023";"LP3I";"15000000"
"22AB03";"AB";"3";"2022/2023";"LP3I";"12000000"
"22ABK01";"ABK";"1";"2022/2023";"KARYAWAN";"8700000"
